rank,title,score,num_of_votes,director,release_year,country,theme,summary,movie_url
222,美国丽人,8.4,191548, 萨姆·门德斯 Sam Mendes,1999,美国,剧情 爱情 家庭,每个人的内心都是深不可测的大海。 ,https://movie.douban.com/subject/1292062/
223,黄金三镖客,9.1,53451, Sergio Leone,1966,意大利 西班牙 西德,冒险 西部,最棒的西部片。,https://movie.douban.com/subject/1401118/
224,英国病人,8.4,178324, 安东尼·明格拉 Anthony Minghella,1996,美国 英国,爱情 剧情 战争,"In memory, love lives forever...",https://movie.douban.com/subject/1291853/
225,爱在午夜降临前,8.8,121051, 理查德·林克莱特 Richard Linklater,2013,美国,剧情 爱情,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/
226,燕尾蝶,8.6,110132, 岩井俊二 Shunji Iwai,1996,日本,犯罪 剧情,现实与童话交相辉映的旅程。,https://movie.douban.com/subject/1307793/
227,无人知晓,9.0,59550, 是枝裕和 Hirokazu Koreeda,2004,日本,剧情,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/
228,非常嫌疑犯,8.6,120279, 布莱恩·辛格 Bryan Singer,1995,德国 美国,剧情 犯罪 悬疑 惊悚,我不信仰上帝，但我敬畏上帝。,https://movie.douban.com/subject/1292214/
229,叫我第一名,8.6,112015, 彼得·维纳 Peter Werner,2008,美国,剧情 传记,乐观比一切都有力量。,https://movie.douban.com/subject/4798888/
230,疯狂的石头,8.3,327128, 宁浩 Hao Ning,2006,中国大陆 香港,喜剧 犯罪,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/
231,穆赫兰道,8.3,242411, 大卫·林奇 David Lynch,2001,法国 美国,剧情 悬疑 惊悚,大卫·林奇的梦境迷宫。,https://movie.douban.com/subject/1292217/
232,勇士,8.9,90011, 加文·欧康诺 Gavin O'Connor,2011,美国,剧情 运动 家庭,热血沸腾，相当完美的娱乐拳击大餐。,https://movie.douban.com/subject/3217169/
233,无敌破坏王,8.6,190321, 瑞奇·莫尔 Rich Moore,2012,美国,喜剧 动画 奇幻 冒险,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/
234,国王的演讲,8.3,351358, 汤姆·霍珀 Tom Hooper,2010,英国 澳大利亚 美国,剧情 传记 历史,皇上无话儿。,https://movie.douban.com/subject/4023638/
235,步履不停,8.8,76875, 是枝裕和 Hirokazu Koreeda,2008,日本,剧情 家庭,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://movie.douban.com/subject/2222996/
236,血钻,8.5,137377, 爱德华·兹威克 Edward Zwick,2006,美国 德国,剧情 惊悚 冒险,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/
237,上帝也疯狂,8.6,98921, Jamie Uys,1980,博茨瓦纳 南非,喜剧,纯净原始的笑与感动。,https://movie.douban.com/subject/1297478/
238,彗星来的那一夜,8.4,186142, 詹姆斯·沃德·布柯特 James Ward Byrkit,2013,美国 英国,科幻 悬疑 惊悚,小成本大魅力。,https://movie.douban.com/subject/25807345/
239,枪火,8.6,102988, 杜琪峰 Johnnie To,1999,香港,剧情 动作 犯罪,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,https://movie.douban.com/subject/1300741/
240,蓝色大门,8.3,278336, 易智言 Chih-yen Yee,2002,台湾 法国,剧情 爱情 同性,青春的窃窃私语。 ,https://movie.douban.com/subject/1308575/
241,大卫·戈尔的一生,8.6,96687, Alan Parker,2003,美国 德国 英国,剧情 犯罪 悬疑,捍卫人权只是信仰，一点不妨碍其行为的残忍。,https://movie.douban.com/subject/1305725/
242,遗愿清单,8.5,133542, 罗伯·莱纳 Rob Reiner,2007,美国,冒险 喜剧 剧情,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/
243,我爱你,9.0,59620, 秋昌民 Chang-min Choo,2011,韩国,剧情 爱情,你要相信，这世上真的有爱存在，不管在什么年纪 ,https://movie.douban.com/subject/5908478/
244,千钧一发,8.7,89085, 安德鲁·尼科尔 Andrew Niccol,1997,美国,剧情 科幻,一部能引人思考的科幻励志片。,https://movie.douban.com/subject/1300117/
245,荒岛余生,8.5,138804, 罗伯特·泽米吉斯 Robert Zemeckis,2000,美国,冒险 剧情,一个人的独角戏。,https://movie.douban.com/subject/1298653/
246,爱·回家,9.0,48653, 李廷香 Jeong-hyang Lee,2002,韩国,剧情 家庭,献给所有外婆的电影。,https://movie.douban.com/subject/1299361/
247,黑鹰坠落,8.5,118915, 雷德利·斯科特 Ridley Scott,2001,美国,动作 历史 战争,还原真实而残酷的战争。,https://movie.douban.com/subject/1291824/
248,麦兜故事,8.5,131343, 袁建滔 Toe Yuen,2001,香港,剧情 喜剧 动画,麦兜是一只很哲学的猪。 ,https://movie.douban.com/subject/1302476/
249,聚焦,8.8,130708, 托马斯·麦卡锡 Thomas McCarthy,2015,美国,剧情 传记,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。,https://movie.douban.com/subject/25954475/
