rank,title,score,num_of_votes,director,release_year,country,theme,summary,movie_url
111,红辣椒,8.9,145849, 今敏 Satoshi Kon,2006,日本,动画 悬疑 科幻 惊悚,梦的勾结。,https://movie.douban.com/subject/1865703/
112,恐怖直播,8.7,240922, 金秉祐 Byeong-woo Kim,2013,韩国,剧情 犯罪 悬疑,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/
113,超脱,8.8,185079, 托尼·凯耶 Tony Kaye,2011,美国,剧情,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
114,萤火虫之墓,8.7,216773, 高畑勋 Isao Takahata,1988,日本,动画 剧情 战争,幸福是生生不息，却难以触及的远。 ,https://movie.douban.com/subject/1293318/
115,驯龙高手,8.7,304076, 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,2010,美国,喜剧 动画 奇幻 冒险 家庭,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/
116,幸福终点站,8.6,238666, 史蒂文·斯皮尔伯格 Steven Spielberg,2004,美国,喜剧 剧情 爱情,有时候幸福需要等一等。 ,https://movie.douban.com/subject/1292274/
117,菊次郎的夏天,8.7,194944, 北野武 Takeshi Kitano,1999,日本,剧情 喜剧,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://movie.douban.com/subject/1293359/
118,小森林 夏秋篇,8.9,143502, 森淳一 Junichi Mori,2014,日本,剧情,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/
119,喜剧之王,8.5,340167, 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999,香港,喜剧 剧情 爱情,我是一个演员。,https://movie.douban.com/subject/1302425/
120,岁月神偷,8.6,322738, 罗启锐 Alex Law,2010,香港 中国大陆,剧情 家庭,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/
121,借东西的小人阿莉埃蒂,8.7,231359, 米林宏昌 Hiromasa Yonebayashi,2010,日本,动画 奇幻 冒险,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/
122,七武士,9.2,82129, 黑泽明 Akira Kurosawa,1954,日本,动作 冒险 剧情,时代悲歌。,https://movie.douban.com/subject/1295399/
123,神偷奶爸,8.5,404012, 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,2010,美国 法国,喜剧 动画 冒险,Mr. I Don&#39;t Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/
124,杀人回忆,8.7,221987, 奉俊昊 Joon-ho Bong,2003,韩国,犯罪 剧情 悬疑 惊悚,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/
125,海洋,9.0,102534, 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,2009,法国 瑞士 西班牙 美国 阿联酋,纪录片,大海啊，不全是水。,https://movie.douban.com/subject/3443389/
126,真爱至上,8.5,331711, 理查德·柯蒂斯 Richard Curtis,2003,英国 美国 法国,喜剧 剧情 爱情,爱，是个动词。,https://movie.douban.com/subject/1292401/
127,电锯惊魂,8.7,210157, 詹姆斯·温 James Wan,2004,美国,悬疑 惊悚 恐怖,真相就在眼前。,https://movie.douban.com/subject/1417598/
128,贫民窟的百万富翁,8.5,414526, 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008,英国 美国,剧情 爱情,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/
129,谍影重重3,8.7,190808, 保罗·格林格拉斯 Paul Greengrass,2007,美国 德国,动作 悬疑 惊悚,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/
130,喜宴,8.8,149147, 李安 Ang Lee,1993,台湾 美国,剧情 喜剧 爱情 同性 家庭,中国家庭的喜怒哀乐忍。,https://movie.douban.com/subject/1303037/
131,东邪西毒,8.6,265925, 王家卫 Kar Wai Wong,1994,香港 台湾,剧情 动作 爱情 武侠 古装,电影诗。,https://movie.douban.com/subject/1292328/
132,记忆碎片,8.5,294946, 克里斯托弗·诺兰 Christopher Nolan,2000,美国,犯罪 剧情 悬疑 惊悚,一个针管引发的血案。,https://movie.douban.com/subject/1304447/
133,雨人,8.6,220035, 巴瑞·莱文森 Barry Levinson,1988,美国,剧情,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://movie.douban.com/subject/1291870/
134,怪兽电力公司,8.6,257017, 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001,美国,喜剧 动画 儿童 奇幻,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/
135,疯狂原始人,8.7,390433, 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,美国,喜剧 动画 冒险,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/
136,黑天鹅,8.5,439385, 达伦·阿罗诺夫斯基 Darren Aronofsky,2010,美国,剧情 惊悚,黑暗之美。,https://movie.douban.com/subject/1978709/
137,英雄本色,8.7,178978, 吴宇森 John Woo,1986,香港,动作 犯罪,英雄泪短，兄弟情长。 ,https://movie.douban.com/subject/1297574/
138,燃情岁月,8.7,154388, 爱德华·兹威克 Edward Zwick,1994,美国,剧情 爱情 西部 家庭,传奇，不是每个人都可以拥有。,https://movie.douban.com/subject/1295865/
139,卢旺达饭店,8.8,126864, 特瑞·乔治 Terry George,2004,英国 南非 意大利 美国,剧情 历史 战争,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/
140,虎口脱险,8.9,112136, 杰拉尔·乌里 G,1966,法国 英国,喜剧 战争,永远看不腻的喜剧。,https://movie.douban.com/subject/1296909/
141,恋恋笔记本,8.5,299611, 尼克·卡索维茨 Nick Cassavetes,2004,美国,剧情 爱情,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/
142,7号房的礼物,8.7,188371, 李焕庆 Hwan-kyeong Lee,2013,韩国,剧情 喜剧 家庭,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
